ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,rank_invest,oportunidade_grafica,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roic,mrg_liq,ev_ebitda,div_liq_ebitda,liq_corr,div_patrim,peg,payout,cresc_5a,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,beta,corr_ibov,close,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
JHSF3,SMALL11,SMALL11,Imobiliário,77.54,76.1,85.71428571428571,,,0.8,,84.71,80.13,54.69,70.14,1,Não,6,8,False,,True,,False,True,True,True,True,True,6,7,True,True,True,True,False,True,True,False,True,0.19,True,6853800448.0,3.67,1.0,6.55,7.77,27.12,12.14,53.01,4.67,0.74,1.92,0.74,0.24,28.53,5.2,4.9,13.85,109.9,-25.8,-5.7,1.39,0.62,10.279999732971191,5.7079631589013475,10.588271659762,37.11444045282514,25.45372397968354,63.7905940651735,17.690304712582176,33.89318713050448,15.041291814830778,,,,6,False,11.2,,,n/d,2026-08-31,próxima,,,False,False,,,Em Baixa,11.33961009979248,-9.344328045641358,-27.368799921197308,True,False,False,sem sinal (Em Baixa; sem novo topo (-9.3%))
POMO3,SMALL11,SMALL11,Bens Industriais,74.43,74.96,71.42857142857143,,,0.7,,81.64,74.76,52.49,90.28,3,Não,5,8,False,,True,,False,False,True,True,True,True,5,7,True,True,True,False,False,True,True,False,True,0.37,True,4965601280.0,4.21,1.19,23.37,11.85,28.32,18.39,13.81,4.49,1.06,1.97,0.84,0.3,49.89,23.0,4.0,6.69,0.0,-40.2,-28.6,0.95,0.47,4.0,3.3855394859021852,6.280175746348553,12.589073634204274,8.476893399766933,24.74270254810751,11.218185064395453,11.014068193741734,4.8794499434021255,9.076307663643178,9.745480796754332,8.7709327170789,6,True,7.3,119.27331792697248,126.90769159107944,n/d,2026-04-27,última,,,False,False,,,Em Baixa,4.989999771118164,-19.83967568191539,-40.660587950633754,True,False,False,sem sinal (Em Baixa; sem novo topo (-19.8%))
VULC3,SMALL11,SMALL11,Consumo discricionário,74.17,77.17,57.142857142857146,,,0.9,,88.41,58.93,65.37,95.83,4,Não,6,8,False,,True,,False,False,True,True,False,True,4,7,True,True,True,True,False,True,True,False,True,0.23,True,4290782464.0,4.66,1.63,29.73,15.46,35.06,17.83,24.89,6.26,0.76,2.96,0.37,0.48,72.03,-64.7,13.63,20.08,0.2,-32.0,-10.3,0.92,0.6,13.65999984741211,15.080852751271935,27.97498185360944,38.84012832150438,23.51013879280727,74.05687050331254,46.597564576175394,25.902009211164177,8.962528548311798,,,,6,False,8.3,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,14.5,-5.793104500606139,-32.47566962059941,True,False,False,sem sinal (Em Baixa; sem novo topo (-5.8%))
MDNE3,SMALL11,SMALL11,Imobiliário,74.08,72.03,85.71428571428571,,,0.8,,73.02,72.45,65.69,79.17,5,Não,7,8,False,,True,,False,True,True,True,True,True,6,7,True,True,True,True,True,True,True,False,True,0.22,True,2469415168.0,4.9,1.17,16.3,9.22,23.93,11.1,19.89,4.4,0.7,2.78,0.43,0.37,45.17,87.7,18.83,34.28,26.5,-30.5,-16.1,1.64,0.63,23.809999465942383,15.67911922391831,29.084766160368464,64.38418222933397,47.16932634243157,108.54956097089774,20.92738765489136,53.053696220183966,37.26714679771741,41.98108423415446,42.21823657007449,37.99641291306704,6,True,6.9,59.58174617944356,76.31703139768582,n/d,2026-01-02,última,,,False,False,,,Em Baixa,25.399999618530273,-6.259843214438177,-30.542589516303487,True,False,False,sem sinal (Em Baixa; sem novo topo (-6.3%))
POMO4,BOVA11+SMALL11,BOVA11,Bens Industriais,72.89,73.15,71.42857142857143,,,0.7,,81.64,71.44,52.49,80.56,7,Não,5,8,False,,True,,False,False,True,True,True,True,5,7,True,True,True,False,False,True,True,False,True,0.37,True,5325607424.0,4.5,1.27,21.85,9.47,28.32,18.39,13.81,4.72,1.06,1.97,0.84,0.3,42.62,23.0,4.29,7.92,0.0,-45.8,-27.2,0.97,0.5,4.289999961853027,2.9022453587140316,5.383665140414528,12.631666554345022,8.512172773480724,23.3292076555093,11.494754758840125,11.535333230760363,4.90470294265725,,,,7,False,8.0,,,n/d,2026-04-27,última,,,False,False,,,Em Baixa,5.380000114440918,-20.26022545356696,-46.04419307726309,True,False,False,sem sinal (Em Baixa; sem novo topo (-20.3%))
MILS3,SMALL11,SMALL11,Bens Industriais,71.67,69.19,85.71428571428571,,,0.7,,86.2,53.88,57.2,54.86,8,Não,6,8,False,,True,,False,True,True,True,True,True,6,7,True,True,True,True,False,True,True,False,True,0.69,True,3547355648.0,8.12,1.93,6.83,5.73,23.81,20.65,23.53,4.84,1.28,2.98,0.99,0.64,46.51,21.3,10.16,15.81,53.2,-1.5,9.4,0.76,0.48,15.569999694824219,6.3705683840434775,11.81740435240065,25.406711324682373,18.656200219833064,35.40346682035033,12.550774962816748,20.47197474302624,17.339728911304352,20.235180190630537,18.656200219833064,16.790580197849756,7,True,5.6,7.839309742769518,29.962624195536236,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.8100004196167,-1.518031109567164,-2.321203860095611,True,False,False,sem sinal (Em Alta)
PSSA3,BOVA11,BOVA11,Insurance,71.32,72.14,66.66666666666667,,1.8,0.3,,76.67,50.0,100.0,51.39,9,Não,4,6,False,,True,,False,False,True,,True,True,4,6,True,False,True,,True,,True,False,True,,True,30799679488.0,8.49,1.94,6.23,5.33,22.84,79.28,8.34,,,,,0.68,45.28,3.6,43.07,55.45,11.6,-13.3,-5.6,0.77,0.51,48.04999923706055,18.303950041575703,33.95382732712292,74.98969256667282,56.160366598325425,100.91973259281991,48.247126331845294,59.58218397962897,,43.873649066804184,41.10047682948411,36.990429146535696,4,True,4.1,-23.01679555906153,-8.691675830527757,2026-11-05,2026-06-23,última,,,False,False,,,Em Baixa,55.45000076293945,-13.345358744926783,-13.501350320444871,True,False,False,sem sinal (Em Baixa; sem novo topo (-13.3%))
CXSE3,BOVA11,BOVA11,Insurance,70.66,65.48,100.0,,1.6,0.3,,64.67,33.01,100.0,81.25,10,Não,4,6,False,,True,,True,True,True,,True,True,6,6,True,False,False,,True,,True,True,True,,True,55439998976.0,12.24,4.01,7.33,9.63,32.79,-1.21,75.44,,,,,0.96,117.82,12.8,12.29,22.04,50.4,-16.2,-0.7,0.69,0.54,18.479999542236328,12.706218522423068,23.570035359094792,20.004901465247656,12.512103262508631,33.858746197266996,22.895474924718865,16.180783912915143,,19.794157567871096,21.450188194983262,19.305169375484937,4,True,1.9,4.465204835977787,7.111244903611813,2026-11-09,2026-08-04,última,,,False,False,,,Em Baixa,22.04433250427246,-16.168931226859883,-16.54085323646305,True,False,False,sem sinal (Em Baixa; sem novo topo (-16.2%))
LEVE3,SMALL11,SMALL11,Consumo discricionário,69.89,69.62,71.42857142857143,,,0.9,,86.22,57.39,32.72,99.31,11,Não,6,8,False,,True,,True,False,True,False,True,True,5,7,True,True,True,False,False,True,True,True,True,1.09,True,4269478656.0,6.41,3.97,9.08,19.55,62.01,33.17,12.31,5.06,1.09,1.37,1.44,0.18,125.31,35.0,24.26,35.6,29.9,-11.5,-4.4,0.66,0.5,31.5,43.98686396218654,81.59563264985603,65.11310452418097,29.619487838529565,147.42589703588143,94.18876755070202,59.46177847113886,26.020041641772725,68.42644670928101,62.28744149765991,56.058697347893926,8,True,5.7,77.96411856474262,117.22681495009843,n/d,2026-04-30,última,,,False,False,,,Em Baixa,32.47999954223633,-3.01724001246354,-13.007454304223852,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.0%))
CURY3,BOVA11+SMALL11,BOVA11,Consumo discricionário,69.87,69.6,71.42857142857143,,,0.9,,90.44,36.59,57.12,83.33,12,Não,6,8,False,,True,,False,False,True,True,True,True,5,7,True,True,True,True,False,True,True,False,True,-0.2,True,9509429248.0,8.83,5.86,13.32,9.82,66.38,37.72,18.37,5.69,-0.2,1.94,0.71,1.0,86.74,33.5,27.53,40.96,12.1,-24.6,-4.4,1.29,0.59,30.8700008392334,21.660347578597683,40.1799447582987,46.32248144052576,20.35629521454873,65.11551675105623,51.406272870648884,28.68240837508629,23.954553586315996,37.209727571884784,34.4311765666925,30.988058910023252,8,True,3.2,0.3824362409469373,20.536853126981725,n/d,2026-05-18,última,,,False,False,,,Em Baixa,32.029998779296875,-3.6215984523023437,-24.79133093651653,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.6%))
