ticker,origem,grupo,setor,investment,investment_base,consistencia,basileia,solvencia,ciclicidade,dado_suspeito,quality,value,safety,dividend,regulado,rank_invest,oportunidade_grafica,candidato_padrao,candidato_nota,virada_alta,criterios_ok,criterios_aplicaveis,passa_checklist,mais_5a_bolsa,sem_prejuizo_anual,lucro_20t,div_ge5_5a,div_sem_corte,roe_ge_10,divida_menor_patrim,cresc_receita_5a,cresc_lucro_5a,n_ok,n_aplic,roe_roic_ge_selic,roe_ge_setor,roic_ge_setor,margem_ge_15,cagr_ge_setor,divida_ok,marketcap_ok,insider_ok,margem_ok,roe_ok,alavancagem_ok,div_liq_patrim,nde_ok,market_cap,pl,pvp,dy,dy_teto,roe,roe_medio,roic,mrg_liq,ev_ebitda,div_liq_ebitda,lev_roic_adj,liq_corr,div_patrim,peg,payout,cresc_5a,pl_fut,roa,liq_geral,grau_endiv,indep_fin,min_52s,max_52s,dist_min52,dist_max52,dist_mm100,mediana_1a,media_1a,max_drawdown,vol_anual,ret_ytd,min_ytd,max_ytd,rel_ibov_ytd,desvio_padrao,momentum_12_1,var_95,sharpe,liquidez_media,preco_p10_1a,preco_p50_1a,preco_p90_1a,g_implicito,teto_dispersao,teto_confiavel,teto_n_metodos,cagr_5a,cagr_3a,cagr_1a,desacelerando,anos_atipicos,beta,corr_ibov,corr_usd,close,div_ge5_5a,divo_qualidade_ok,auvp_ok,teto_bazin,teto_gordon,teto_dcf,teto_graham,teto_lynch,teto_projetivo,teto_graham_selic,teto_mult_ebitda,teto_medio,teto_mediana,teto_ajustado,teto_n_metodos,teto_confiavel,teto_dispersao,teto_upside_pct,teto_upside_media_pct,prox_resultado,ex_dividendo,ex_tipo,tese_ia,strategy,in_wishlist,in_carteira,preco_medio,var_pm_pct,trend,breakout_level,pct_to_level,dist_52w_high_pct,fund_ok,breakout,aprovado,note
VULC3,SMALL11+DIVO11,SMALL11,Consumo discricionário,77.3,78.11,72.72727272727273,,,0.9,,87.38,64.22,65.7,95.89,False,1,Não,,,False,6,8,False,,True,,False,False,True,True,False,True,8,11,True,True,True,True,False,True,True,False,True,True,True,0.25,True,4212254208.0,4.59,1.61,21.46,15.43,35.06,31.82,17.83,24.89,6.17,0.76,0.59,2.96,0.37,0.45,70.81,-64.7,6.11,11.45,1.64,37.42,62.57,12.98,20.08,3.3,-33.2,-6.3,16.8,16.6,-35.4,26.2,-32.6,12.98,19.91,-47.98,1.65,-20.7,-3.0,-1.33,37915286.0,7.48,10.48,14.68,-6.6,8.6,False,6,,12.0,16.8,False,2025,0.86,0.57,0.15,13.40999984741211,False,False,False,15.04505862058279,28.294416696128277,39.95951883690164,23.39918608311124,74.9713486185035,48.512991577884414,27.08377285959657,8.709324266091782,,,,6,False,8.6,,,n/d,2025-12-23,última,,,False,False,,,Em Baixa,13.949999809265137,-3.8709675214072536,-33.7114736310986,True,False,False,sem sinal (Em Baixa; sem novo topo (-3.9%))
JHSF3,SMALL11+DIVO11+AUVP11,SMALL11,Imobiliário,77.28,74.88,90.9090909090909,,,0.8,,86.69,79.73,44.72,69.86,False,2,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$12.25, preço 6.9% abaixo do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,False,True,True,True,True,True,10,11,True,True,True,True,True,True,True,False,True,True,True,0.34,True,7496415744.0,3.66,1.04,6.25,8.09,28.4,16.71,13.12,52.59,4.87,1.22,1.27,1.73,0.86,0.24,29.59,90.2,8.99,7.25,0.72,61.6,36.26,5.11,13.76,123.3,-17.1,4.7,9.33,9.1,-27.9,39.6,54.5,7.38,13.76,39.12,2.49,94.6,-3.79,1.89,50699885.0,15.4,25.49,42.2,-10.7,10.7,False,6,,21.6,116.4,False,2025,1.37,0.61,0.05,11.399999618530273,False,False,True,6.703335354721408,12.606595199363165,42.60179656492892,27.716531667129832,71.9046053020146,19.57807411896471,38.37376920773032,20.30637071026175,,,,6,False,10.7,,,n/d,2026-10-01,próxima,,,False,False,,,Em Alta,12.15999984741211,-6.25000196067913,-18.910168321461697,True,False,False,sem sinal (Em Alta)
MDNE3,SMALL11+DIVO11,SMALL11,Imobiliário,74.88,72.05,90.9090909090909,,,0.8,,72.31,77.75,60.29,80.14,False,3,Não,Bandeira de alta,"Bandeira de alta (pré-confirmação) — pescoço R$25.90, preço 6.4% abaixo do pescoço; falta fechar acima e segurar",False,7,8,False,,True,,False,True,True,True,True,True,10,11,True,True,True,True,True,True,True,False,True,True,True,0.24,True,2506764800.0,4.51,1.1,16.01,9.32,24.38,16.15,10.98,21.43,4.35,0.91,1.13,2.38,0.48,0.32,42.05,19.5,3.79,6.4,1.12,72.76,27.27,20.62,34.28,17.5,-29.3,-8.5,25.8,26.64,-33.9,45.4,5.4,22.65,34.28,-9.98,2.86,6.2,-5.03,0.16,30888212.0,15.05,26.95,48.25,-6.9,7.7,True,6,,43.4,50.1,False,,1.69,0.65,0.13,24.239999771118164,False,False,False,16.434991526071357,30.908387289353556,73.51233747910808,51.62252662410646,126.04822269516234,25.72360517944003,63.2218323581663,47.99543010921238,48.83068650656446,49.80897836665942,44.82808052999348,6,True,7.7,84.93432736499406,101.4467284143541,n/d,2026-01-02,última,,,False,False,,,Lateral,26.299999237060547,-7.832697816354084,-29.288212852102802,True,False,False,sem sinal (Lateral)
POMO3,SMALL11+DIVO11,SMALL11,Bens Industriais,74.18,74.44,72.72727272727273,,,0.7,,79.77,75.84,52.71,90.41,False,4,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,8,11,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5040060416.0,4.23,1.2,22.76,12.73,28.32,24.74,18.39,13.19,4.51,1.29,0.96,1.94,0.81,0.32,53.85,-14.0,,8.76,1.02,59.93,39.42,3.73,6.48,8.8,-37.3,-18.8,5.48,5.36,-42.4,35.8,-23.5,3.73,6.43,-38.88,2.26,-38.0,-3.6,-1.34,7635746.0,1.7,2.7,4.29,-8.0,6.6,True,6,,18.7,5.4,True,,0.95,0.46,0.05,4.059999942779541,False,False,False,3.7589591120344426,7.069268265535742,13.127735649649393,8.547841878354369,24.763295527428227,11.223424793906613,10.639137898418669,5.835538361725631,9.407157807931736,9.593489888386518,8.634140899547866,6,True,6.6,112.66357195159947,131.7033975495932,n/d,2026-08-26,última,,,False,False,,,Lateral,4.340000152587891,-6.451617510690378,-37.84196722993377,True,False,False,sem sinal (Lateral)
PSSA3,BOVA11+AUVP11,BOVA11,Insurance,73.66,72.93,77.77777777777777,,1.8,0.3,,75.94,54.74,100.0,50.68,False,5,Não,,,False,4,6,False,,True,,False,False,True,,True,True,7,9,True,False,True,,True,,True,False,True,True,True,,True,31479134208.0,8.62,1.97,6.13,5.33,22.84,17.35,79.28,8.13,,,,,,0.7,45.98,0.3,7.93,6.06,,71.59,28.18,43.07,55.45,14.0,-11.4,-3.0,48.1,48.55,-16.1,25.9,6.0,44.27,55.45,-9.38,1.63,-1.8,-2.69,-0.26,78881168.0,36.48,50.94,71.14,1.9,4.1,True,4,,20.5,17.0,True,2023,0.75,0.51,0.03,49.11000061035156,False,False,True,19.052975000732562,35.83188524331317,77.92321030906767,56.52940998164213,100.68046846037372,48.15396756290437,60.48109397400225,,45.24050952900444,41.99292640310877,37.793633762797896,4,True,4.1,-23.042896980067162,-7.879232403290781,2026-11-05,2026-06-23,última,,,False,False,,,Lateral,51.65999984741211,-4.936119327511546,-11.593157002984256,True,False,False,sem sinal (Lateral)
POMO4,BOVA11+SMALL11+DIVO11+AUVP11+Carteira,BOVA11,Bens Industriais,73.56,73.71,72.72727272727273,,,0.7,,79.77,75.38,52.71,84.25,False,6,Não,,,False,5,8,False,,True,,False,False,True,True,False,True,8,11,True,True,True,False,False,True,True,False,True,True,True,0.44,True,5313167360.0,4.46,1.26,21.59,10.23,28.32,24.74,18.39,13.19,4.69,1.29,0.96,1.94,0.81,0.3,45.61,-14.0,4.52,8.76,1.02,59.93,39.42,3.93,7.69,8.8,-44.3,-18.8,5.77,5.8,-48.9,35.7,-24.1,3.93,6.81,-39.48,2.25,-45.0,-3.6,-1.74,61357323.0,1.56,2.47,3.93,-7.1,7.6,True,7,,18.7,5.4,True,,1.01,0.49,0.05,4.28000020980835,False,False,True,3.1829412635502714,5.985983085967122,13.12541652653508,8.564112180522919,24.20749899572679,11.575137762178509,11.822780848618583,5.826466211245448,11.586770801542064,11.575137762178509,10.417623985960658,7,True,7.6,143.40241764677714,170.7189306904473,n/d,2026-08-26,última,,,False,True,4.45,-3.82,Lateral,4.599999904632568,-6.9565152490971505,-44.5722697108061,True,False,False,sem sinal (Lateral)
CURY3,BOVA11+SMALL11+DIVO11+AUVP11,BOVA11,Consumo discricionário,73.51,72.04,81.81818181818181,,,0.9,,89.4,47.57,57.11,84.93,False,7,Não,Fundo duplo,"Fundo duplo (pré-confirmação) — pescoço R$34.67, preço 16.2% abaixo do pescoço; falta fechar acima e segurar",False,6,8,False,,True,,False,False,True,True,True,True,9,11,True,True,True,True,False,True,True,False,True,True,True,-0.13,True,8948782080.0,8.15,5.41,16.57,10.4,66.38,57.38,37.72,17.89,5.24,-0.15,-0.06,1.92,0.66,0.81,84.76,8.2,6.13,16.3,0.91,70.61,24.44,26.99,40.16,7.6,-27.7,-6.6,31.65,31.9,-29.9,40.3,-3.1,28.13,40.16,-18.48,2.54,8.6,-3.95,-0.13,107419733.0,17.39,29.13,48.8,1.3,3.5,True,8,,33.7,37.5,False,,1.33,0.58,0.07,29.049999237060547,False,False,True,21.97322161045022,41.32383289965315,48.75202721754866,20.75199946066512,73.1223052645789,54.239161046687144,32.76780270096765,23.845006111464652,39.59691953900194,37.0458178003104,33.34123602027936,8,True,3.5,14.771899813836376,36.30609493609265,n/d,2026-08-17,última,,,False,False,,,Lateral,33.65999984741211,-13.695783218210543,-27.82327373874728,True,False,False,sem sinal (Lateral)
MILS3,SMALL11,SMALL11,Bens Industriais,70.85,68.91,81.81818181818181,,,0.7,,84.31,56.4,57.62,53.42,False,8,Não,,,False,6,8,False,,True,,False,True,True,True,True,True,9,11,True,True,True,True,False,True,True,False,True,True,True,0.65,True,3623306496.0,8.3,1.98,5.33,5.69,23.81,18.37,20.65,23.53,4.91,1.28,0.85,2.98,0.99,0.66,47.23,21.3,8.54,11.12,0.54,61.6,38.32,10.3,15.9,54.4,0.0,5.9,12.99,13.33,-15.0,26.7,25.7,12.01,15.9,10.32,1.68,46.7,-1.9,1.12,7266995.0,17.0,23.77,33.23,1.5,5.3,True,7,,18.9,16.7,True,,0.69,0.45,0.07,15.899999618530273,False,False,False,6.580700632089414,12.375962801639124,26.20132078607398,18.604445547381857,34.969298429977925,11.996020507770956,20.6138248988022,20.320103842537424,20.72585383059764,20.320103842537424,18.288093458283683,7,True,5.3,15.019458472000613,30.35128508080711,n/d,2026-04-22,última,,,False,False,,,Em Alta,15.869999885559082,0.18903423558616073,-0.625002384185791,True,False,False,sem sinal (Em Alta)
PETR4,BOVA11+DIVO11+AUVP11,BOVA11,Energia,70.69,73.54,54.54545454545455,,,0.9,DY5a=41.0%>=20,85.74,80.98,36.8,,False,9,Não,,,False,7,8,False,,True,,True,False,True,True,True,False,6,11,True,True,True,True,True,True,True,False,True,True,True,0.61,True,662679060480.0,4.69,1.3,7.52,40.99,27.73,30.77,19.69,24.32,2.91,1.29,0.9,0.85,0.76,0.31,192.27,96.8,4.91,10.07,0.28,65.87,33.99,26.84,50.43,80.7,-3.8,16.2,37.51,36.74,-22.2,26.5,68.0,27.87,50.43,52.62,1.67,47.1,-2.6,1.64,2229953095.0,59.11,82.94,116.38,-6.2,5.6,True,8,,-10.5,-2.4,False,,0.38,0.25,-0.04,48.5,True,True,True,144.600404571685,271.9420511783624,141.440264117202,93.1697435614299,310.23454157782515,56.1476,127.40298507462688,55.073939499826324,150.00144119761973,134.42162459591444,120.979462136323,8,True,5.6,149.44218997179996,209.2813220569479,n/d,2026-08-24,última,,,False,False,,,Em Alta,50.43000030517578,-3.8270876333460935,-4.339251932610633,True,False,False,sem sinal (Em Alta)
ABCB10,SMALL11,SMALL11,Produtos financeiros,70.24,73.81,50.0,,,0.4,,74.34,72.85,,,False,10,Não,,,False,1,3,False,,,,,,True,,False,,1,2,True,False,,,False,,,,True,True,True,,True,,,0.88,,,14.9,,,40.92,,,,,,,,-2.9,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0,,,,,,,,,,,False,False,,,,,,,,,,,,0,True,,,,n/d,n/d,,,,False,False,,,,,,,False,False,False,histórico insuficiente
